#plate-ifu   agc   sep   dv   mhi   mhilim200   rms
7977-3701           -1      -1.00000      -1.00000      -1.00000        9.1256483       2.04757
7977-3702           -1      -1.00000      -1.00000      -1.00000        9.5122049       5.02286
7977-3703           -1      -1.00000      -1.00000      -1.00000        9.2265716       2.56822
7977-3704           -1      -1.00000      -1.00000      -1.00000        9.2182042       2.61379
7977-6102           -1      -1.00000      -1.00000      -1.00000        9.9513698       2.73883
7977-6103       320987       46.8454       5.86608       9.63000       -1.0000000       2.34520
7977-6104           -1      -1.00000      -1.00000      -1.00000        10.227491       4.17989
7977-9101           -1      -1.00000      -1.00000      -1.00000        9.1685811       2.40811
7979-12701        11953       5.62409       12.6842       9.94000       -1.0000000       2.55654
7979-12702           -1      -1.00000      -1.00000      -1.00000        9.1598233       2.12055
7979-12703           -1      -1.00000      -1.00000      -1.00000        9.1678230       2.68052
7979-12704       320527       33.4027       17.0720       9.71000       -1.0000000       2.56791
7979-12705           -1      -1.00000      -1.00000      -1.00000        9.3629393       3.53360
7979-1902           -1      -1.00000      -1.00000      -1.00000        9.9720968       2.34685
7979-3701       320836       59.7391       71.8774       9.38000       -1.0000000       2.33628
7979-3702           -1      -1.00000      -1.00000      -1.00000        9.0969757       2.37337
7979-3703           -1      -1.00000      -1.00000      -1.00000        9.2292553       2.54953
7979-3704           -1      -1.00000      -1.00000      -1.00000        9.0881716       2.16107
7979-6101           -1      -1.00000      -1.00000      -1.00000        10.288665       3.47040
7979-6102           -1      -1.00000      -1.00000      -1.00000        9.1414255       2.33562
7979-6103           -1      -1.00000      -1.00000      -1.00000        9.1742097       2.44358
7979-6104           -1      -1.00000      -1.00000      -1.00000        8.9817239       2.26530
7979-9101           -1      -1.00000      -1.00000      -1.00000        10.130069       3.41024
7993-12701         1702       48.7995       3.66370       9.93000       -1.0000000       2.63654
7993-12702           -1      -1.00000      -1.00000      -1.00000        9.7449842       2.65919
7993-12704         1710       16.1976       19.4239       10.1200       -1.0000000       2.56472
7993-12705       122339       38.5699       96.7988       9.87000       -1.0000000       2.79051
7993-1901           -1      -1.00000      -1.00000      -1.00000        9.2032077       2.54112
7993-1902       120091       33.2005      0.321320       9.13000       -1.0000000       2.80717
7993-3702           -1      -1.00000      -1.00000      -1.00000        9.7441900       2.69061
7993-3703       122354       23.8574       46.3362       9.54000       -1.0000000       2.52165
7993-3704       120128       7.76270      0.513400       9.54000       -1.0000000       2.60460
7993-6101           -1      -1.00000      -1.00000      -1.00000        9.1732157       2.64579
7993-6103       122405       43.3651       5.08866       9.42000       -1.0000000       2.70114
7993-6104           -1      -1.00000      -1.00000      -1.00000        9.9243370       2.61211
7993-9101           -1      -1.00000      -1.00000      -1.00000        10.016236       2.84090
8077-12701           -1      -1.00000      -1.00000      -1.00000        9.8473541       4.20173
8077-12702           -1      -1.00000      -1.00000      -1.00000        9.3213823       3.24572
8077-12704       121782       14.8209       18.8014       9.62000       -1.0000000       3.31743
8077-12705           -1      -1.00000      -1.00000      -1.00000        9.8785528       4.53965
8077-1901           -1      -1.00000      -1.00000      -1.00000        9.2322053       3.29327
8077-1902           -1      -1.00000      -1.00000      -1.00000        9.8013196       3.79432
8077-3701           -1      -1.00000      -1.00000      -1.00000        9.4543247       3.92148
8077-3702           -1      -1.00000      -1.00000      -1.00000        9.1524570       2.67167
8077-3703           -1      -1.00000      -1.00000      -1.00000        9.8722693       4.27590
8077-3704           -1      -1.00000      -1.00000      -1.00000        9.1683694       2.79602
8077-6101           -1      -1.00000      -1.00000      -1.00000        9.3907516       3.55280
8077-6102           -1      -1.00000      -1.00000      -1.00000        9.1421860       3.30265
8077-6103           -1      -1.00000      -1.00000      -1.00000        9.8250537       3.45054
8077-6104           -1      -1.00000      -1.00000      -1.00000        9.8751077       4.13457
8077-9101           -1      -1.00000      -1.00000      -1.00000        9.8206178       4.15836
8077-9102           -1      -1.00000      -1.00000      -1.00000        9.2848243       3.70621
8078-12701         2208       48.4675       12.4839       10.0800       -1.0000000       5.28669
8078-12702           -1      -1.00000      -1.00000      -1.00000        9.5826044       3.49538
8078-12703         2324       22.8043       13.6353       10.3100       -1.0000000       2.70774
8078-12704           -1      -1.00000      -1.00000      -1.00000        9.8466558       4.27080
8078-12705           -1      -1.00000      -1.00000      -1.00000        9.3044433       3.74201
8078-1901           -1      -1.00000      -1.00000      -1.00000        9.2418131       3.23266
8078-1902           -1      -1.00000      -1.00000      -1.00000        9.2873610       3.68865
8078-3701           -1      -1.00000      -1.00000      -1.00000        9.2992603       3.85788
8078-3702           -1      -1.00000      -1.00000      -1.00000        9.3139996       3.17158
8078-3703           -1      -1.00000      -1.00000      -1.00000        9.2706354       3.83510
8078-3704           -1      -1.00000      -1.00000      -1.00000        9.2285700       3.67242
8078-6103       420266       31.4804       12.6267       9.96000       -1.0000000       2.75226
8078-6104           -1      -1.00000      -1.00000      -1.00000        9.7955358       3.69047
8078-9101           -1      -1.00000      -1.00000      -1.00000        9.1964926       3.78945
8078-9102           -1      -1.00000      -1.00000      -1.00000        9.2793912       4.08850
8079-12701           -1      -1.00000      -1.00000      -1.00000        9.2519153       3.73861
8079-12702           -1      -1.00000      -1.00000      -1.00000        9.2116208       3.89309
8079-12703           -1      -1.00000      -1.00000      -1.00000        9.8059880       3.92426
8079-12704         2271       18.0015       17.2515       9.99000       -1.0000000       3.35926
8079-12705           -1      -1.00000      -1.00000      -1.00000        10.254365       4.62579
8079-1901           -1      -1.00000      -1.00000      -1.00000        9.3008039       3.83354
8079-1902           -1      -1.00000      -1.00000      -1.00000        9.2079530       4.11347
8079-3701           -1      -1.00000      -1.00000      -1.00000        9.8444113       4.11035
8079-3702           -1      -1.00000      -1.00000      -1.00000        9.8182136       4.18014
8079-3703           -1      -1.00000      -1.00000      -1.00000        9.8969565       4.42302
8079-3704           -1      -1.00000      -1.00000      -1.00000        9.2637542       4.19307
8079-6101           -1      -1.00000      -1.00000      -1.00000        9.2517629       4.09964
8079-6102           -1      -1.00000      -1.00000      -1.00000        9.2631183       4.17831
8079-6103           -1      -1.00000      -1.00000      -1.00000        9.8350018       4.26205
8079-6104           -1      -1.00000      -1.00000      -1.00000        10.853784       4.45607
8079-9101           -1      -1.00000      -1.00000      -1.00000        9.2730235       4.01029
8079-9102           -1      -1.00000      -1.00000      -1.00000        9.6521913       2.72928
8097-12701           -1      -1.00000      -1.00000      -1.00000        10.095516       2.66465
8097-12702           -1      -1.00000      -1.00000      -1.00000        10.088089       2.55834
8097-12704           -1      -1.00000      -1.00000      -1.00000        9.6715196       2.82216
8097-12705           -1      -1.00000      -1.00000      -1.00000        8.8978160       2.74606
8097-1901           -1      -1.00000      -1.00000      -1.00000        9.6724251       2.79278
8097-1902           -1      -1.00000      -1.00000      -1.00000        8.7985586       2.96611
8097-3701           -1      -1.00000      -1.00000      -1.00000        8.8219031       2.53916
8097-3702           -1      -1.00000      -1.00000      -1.00000        9.6584009       2.72971
8097-3703       113167       35.2944       3.93178       8.67000       -1.0000000       2.53211
8097-3704           -1      -1.00000      -1.00000      -1.00000        9.1534097       2.47142
8097-6101           -1      -1.00000      -1.00000      -1.00000        9.1866197       2.57747
8097-6102           -1      -1.00000      -1.00000      -1.00000        9.4468435       2.85174
8097-6103           -1      -1.00000      -1.00000      -1.00000        10.531608       2.77446
8097-6104           -1      -1.00000      -1.00000      -1.00000        10.045389       2.77311
8097-9101           -1      -1.00000      -1.00000      -1.00000        9.9750745       2.74731
8097-9102           -1      -1.00000      -1.00000      -1.00000        10.073564       2.74701
8139-12701           -1      -1.00000      -1.00000      -1.00000        8.7971586       2.97983
8139-12702       171577       98.9818       37.6566       9.67000       -1.0000000      -1.00000
8139-12704       171369       69.4705       15.1577       9.28000       -1.0000000      -1.00000
8139-12705       170852       36.7920       2.27020       9.69000       -1.0000000      -1.00000
8139-1902           -1      -1.00000      -1.00000      -1.00000        9.6064859       2.82619
8139-3701           -1      -1.00000      -1.00000      -1.00000        10.308596       3.70972
8139-6101       170813       34.5786       19.2422       9.89000       -1.0000000      -1.00000
8139-9101       721215       6.51279       15.6437       9.51000       -1.0000000       2.55935
8139-9102           -1      -1.00000      -1.00000      -1.00000        9.5420689       2.45472
8144-12701       171639       12.7792       2.57472       9.74000       -1.0000000       2.36484
8144-12702       171598       73.0596       146.906       10.3100       -1.0000000       3.62459
8144-12703       170806       14.7905       7.11178       10.0600       -1.0000000       2.48288
8144-12704           -1      -1.00000      -1.00000      -1.00000        10.268083       2.70563
8144-12705         3969       13.4509       4.56932       9.90000       -1.0000000       2.45391
8144-1901           -1      -1.00000      -1.00000      -1.00000        9.3115610       3.29395
8144-1902           -1      -1.00000      -1.00000      -1.00000        8.8661269       3.40652
8144-3701           -1      -1.00000      -1.00000      -1.00000        9.5375599       2.58401
8144-3702           -1      -1.00000      -1.00000      -1.00000        10.381254       2.90196
