plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
7968-9102,248.0,199.5,3,2,2,0,0,0
7972-12704,308.5,304.5,3,2,2,0,0,0
7972-3702,106.0,103.5,3,2,2,0,0,0
7972-3704,197.0,29.5,3,2,2,0,0,0
7972-6103,55.0,29.5,3,2,2,0,0,0
7972-6104,117.0,108.0,3,2,2,0,0,0
7975-12703,172.5,174.0,3,2,2,0,0,0
7975-12704,179.5,181.5,3,2,2,0,0,0
7975-1901,327.5,18.5,3,2,2,0,0,0
7975-1902,261.5,257.0,3,2,2,0,0,0
7975-3701,335.0,332.0,3,2,2,0,0,0
7975-6102,144.5,145.0,3,2,2,0,0,0
7975-9101,313.0,314.0,3,2,2,0,0,0
7975-9102,213.5,208.5,3,2,2,0,0,0
7977-12703,74.0,73.0,3,2,2,0,0,0
7977-12704,127.0,126.5,3,2,2,0,0,0
7977-12705,204.5,206.0,3,2,2,0,0,0
7977-1902,88.5,85.0,3,2,2,0,0,0
7977-3701,59.5,244.5,3,2,2,0,0,0
7977-3702,17.0,297.5,3,2,2,0,0,0
7977-3703,168.0,168.5,3,2,2,0,0,0
7977-3704,218.0,216.0,3,2,2,0,0,0
7977-6103,78.5,75.0,3,2,2,0,0,0
7977-9102,115.0,112.0,3,2,2,0,0,0
7979-12701,348.0,347.5,3,2,2,0,0,0
7979-12705,165.0,151.5,3,2,2,0,0,0
7979-1902,13.5,15.5,3,2,2,0,0,0
7979-3703,235.0,240.0,3,2,2,0,0,0
7979-6102,10.0,5.5,3,2,2,0,0,0
7979-6103,48.0,42.0,3,2,2,0,0,0
7979-9101,292.5,296.0,3,2,2,0,0,0
7979-9102,138.5,137.5,3,2,2,0,0,0
7990-12702,200.5,207.0,3,2,2,0,0,0
7990-12703,276.5,293.5,3,2,2,0,0,0
7990-12704,77.0,82.5,3,2,2,0,0,0
7990-1901,184.0,112.0,3,2,2,0,0,0
7990-1902,58.5,57.0,3,2,2,0,0,0
7990-3701,277.0,281.5,3,2,2,0,0,0
7990-3702,354.5,352.5,3,2,2,0,0,0
7990-3703,100.0,96.5,3,2,2,0,0,0
7990-3704,16.5,20.5,3,2,2,0,0,0
